CODE	ENGLISH	CHINESE	JAPAN	SPANISH	SWAHILI	DANISH
L_15	Click the icon to use Rich card!	點擊圖示即可使用富卡！	リッチカードを使うにはアイコンをクリック！	¡Haga clic en el ícono para usar la tarjeta Rich!	Bofya ikoni ili kutumia Rich card!	Klik på ikonet for at bruge Rich card!
L_16	To receive the prize,place bets until the progress bar is full and unlock more rewards by upgrading your LV level.	要獲得獎品，請下注直至進度條滿，並透過升級 LV 等級來解鎖更多獎勵。	賞品を受け取るには、プログレスバーがいっぱいになるまでベットし、LV レベルをアップグレードしてさらに多くの報酬のロックを解除します。	Para recibir el premio, haga apuestas hasta que la barra de progreso esté llena y desbloquee más recompensas mejorando su nivel LV.	Ili kupokea zawadi, weka dau hadi upau wa maendeleo ujae na upate zawadi zaidi kwa kuboresha kiwango chako cha LV.	For at modtage præmien skal du placere væddemål, indtil statuslinjen er fuld, og låse op for flere belønninger ved at opgradere dit LV-niveau.
L_17	No Rich Card  in your backpack.	無富卡  在你的背包裡。	リッチカードなし  バックパックの中に。	Sin tarjeta rica  en tu mochila.	Hakuna Kadi Tajiri  katika mkoba wako.	Intet Rich Card  i din rygsæk.
L_18	The Rich card dissapears once expired.	Rich 卡一旦過期就會消失。	リッチ カードは有効期限が切れると消滅します。	La tarjeta Rich desaparece una vez caducada.	Kadi Tajiri hupotea mara tu muda wake ulipokwisha.	Rich-kortet forsvinder, når det er udløbet.
L_19	Missions	使命	ミッション	Misiones	Misheni	Missioner
L_20	Daily Missions	每日任務	デイリーミッション	Misiones Diarias	Misheni za Kila Siku	Daglige Missioner
L_21	Mission Description	任務說明	ミッションの説明	Descripción de la misión	Maelezo ya Dhamira	Opgavebeskrivelse
L_22	1. Missions reset daily at 03:00 and  progress will start from zero.	1.任務每天03:00重置，進度從零開始。	1. ミッションは毎日03:00にリセットされ、進行状況はゼロから始まります。	1. Las misiones se reinician diariamente a las 03:00 y el progreso comenzará desde cero.	1. Misheni huwekwa upya kila siku saa 03:00 na maendeleo yataanza kutoka sifuri.	1. Missioner nulstilles dagligt kl. 03:00, og fremskridtene starter fra nul.
L_23	2. Once you obtain an Rich Card, check its description in "Backpack"-->"All" and note the available date.	2.獲得豐富卡片後，請在「背包」-->「全部」中查看其描述並記下可用日期。	2. リッチ カードを取得したら、「バックパック」-->「すべて」の説明を確認し、利用可能日をメモします。	2. Una vez que obtenga una Rich Card, verifique su descripción en "Mochila"-->"Todos" y anote la fecha disponible.	2. Mara tu unapopata Kadi Nzuri, angalia maelezo yake katika "Mkoba"-->"Zote" na utambue tarehe inayopatikana.	2. Når du har fået et Rich Card, skal du tjekke dets beskrivelse i "Rygsæk"-->"Alle" og notere den tilgængelige dato.
L_24	3. Rich Cards for other games are only usable in specified games.	3.其他遊戲的豐富卡牌只能在指定遊戲中使用。	3. 他のゲームのリッチカードは指定されたゲームでのみ使用可能です。	3. Las Rich Cards de otros juegos solo se pueden utilizar en juegos específicos.	3. Kadi Tajiri za michezo mingine zinaweza kutumika katika michezo mahususi pekee.	3. Rich Cards til andre spil kan kun bruges i specificerede spil.
L_25	4. Mission progress does not include the effects of Rich Cards.	4.任務進度不包含豐富卡牌的效果。	4. ミッションの進行状況にはリッチカードの効果は含まれません。	4. El progreso de la misión no incluye los efectos de las Rich Cards.	4. Maendeleo ya dhamira hayajumuishi athari za Kadi Tajiri.	4. Missionsfremskridt inkluderer ikke virkningerne af Rich Cards.
L_26	5. Missions for specified games in Single game mission do not count towards missions in jili.	5.單場任務中指定遊戲的任務不計入吉利任務。	5. シングルゲームミッションの指定されたゲームのミッションは、jili のミッションにはカウントされません。	5. Las misiones para juegos específicos en la misión de un solo juego no cuentan para las misiones en jili.	5. Misheni za michezo maalum katika misheni ya Mchezo Mmoja hazihesabiki kwenye misheni katika jili.	5. Missioner for specificerede spil i Single game mission tæller ikke med i missioner i jili.
L_27	Events	活動	イベント	Eventos	Matukio	Begivenheder
L_28	Free Gift	免費禮物	無料ギフト	Regalo gratis	Zawadi ya Bure	Gratis gave
L_29	Favorites	收藏夾	お気に入り	Favoritos	Vipendwa	Favoritter
L_30	Features	特徵	特徴	Características	Vipengele	Funktioner
L_31	Countdown	倒數計時	カウントダウン	Cuenta atrás	Muda uliosalia	Nedtælling
L_32	Any 3 Symbols to win.	任 3 個符號即可獲勝。	シンボルが 3 つあれば勝利します。	3 símbolos cualesquiera para ganar.	Alama zozote 3 kushinda.	Alle 3 symboler at vinde.
L_33	Special Wheel.A variety of effects	特殊轉盤，多種效果	特殊ホイール、多彩なエフェクト	Rueda especial. Una variedad de efectos.	Gurudumu Maalum.Aina mbalimbali za athari	Specielt hjul. En række effekter
L_34	Volatility:	揮發性：	ボラティリティ:	Volatilidad:	Tete:	Volatilitet:
L_35	My Favorite Instructions	我最喜歡的說明	私のお気に入りの指示	Mis instrucciones favoritas	Maagizo Ninayopenda	Mine yndlingsvejledninger
L_36	Rich Card(1   )	富卡(1)	リッチカード(1)	Tarjeta rica(1 )	Kadi tajiri(1)	Rich Card(1)
L_37	Info:	資訊:	情報：	Información:	Taarifa:	Info:
L_38	Game cad grants Freegame. It's removed from inventory upon use or if unused before expiry.	遊戲 cad 授予 Freegame。使用後或過期前未使用的物品將從庫存中刪除。	ゲーム CAD は Freegame を許可します。使用時、または期限切れ前に未使用の場合は在庫から削除されます。	El cad del juego otorga Freegame. Se elimina del inventario tras su uso o si no se utiliza antes de su vencimiento.	Msaada wa kadi ya mchezo Freegame. Inaondolewa kwenye orodha inapotumiwa au ikiwa haijatumika kabla ya muda wake kuisha.	Game cad grants Freegame. Det fjernes fra lageret ved brug, eller hvis det ikke er brugt før udløb.
L_39	Click the Heart to collect the game to your Favorites.	點擊心形將遊戲收藏到您的收藏夾中。	ハートをクリックしてゲームをお気に入りに集めます。	Haz clic en el Corazón para agregar el juego a tus Favoritos.	Bofya Moyo ili kukusanya mchezo kwa Vipendwa vyako.	Klik på hjertet for at samle spillet til dine favoritter.
L_40	Then you can find it in th "Win More:.	然後您可以在“贏得更多：”中找到它。	次に、「Win More:」でそれを見つけることができます。	Luego podrás encontrarlo en "Win More:.	Basi unaweza kuipata katika "Shinda Zaidi:.	Så kan du finde det i "Vind mere:.
L_41	Click the game icon and enter.	點擊遊戲圖示並進入。	ゲームアイコンをクリックして入力してください。	Haz clic en el ícono del juego y entra.	Bonyeza ikoni ya mchezo na uingie.	Klik på spilikonet og indtast.
L_42	Rewards	獎勵	報酬	Recompensas	Zawadi	Belønninger
L_43	Tournament	比賽	トーナメント	Torneo	Mashindano	Turnering
L_44	Login gift	登入贈品	ログインギフト	Regalo de inicio de sesión	Zawadi ya kuingia	Login gave
L_45	Experience chips	體驗籌碼	経験値チップ	Fichas de experiencia	Pata uzoefu wa chips	Oplev chips
L_46	Mission	使命	ミッション	Misión	Misheni	Mission
L_47	Member	成員	メンバー	Miembro	Mwanachama	Medlem
L_48	History	歷史	歴史	Historia	Historia	Historie
L_49	Event	事件	イベント	Evento	Tukio	Tilfælde
L_50	Search Content:	搜尋內容：	検索コンテンツ:	Buscar contenido:	Tafuta Maudhui:	Søg efter indhold:
L_51	Event Time:	活動時間：	イベント時間:	Hora del evento:	Muda wa Tukio:	Begivenhedstid:
L_52	Game Types:	遊戲類型：	ゲームの種類:	Tipos de juegos:	Aina za Mchezo:	Spiltyper:
L_53	Event name:	活動名稱：	イベント名：	Nombre del evento:	Jina la tukio:	Begivenhedsnavn:
L_54	Event Time:	活動時間：	イベント時間:	Hora del evento:	Muda wa Tukio:	Begivenhedstid:
L_55	*Final update date: Coming soon	*最終更新日期：即將推出	※最終更新日：近日公開予定	*Fecha de actualización final: Próximamente	*Tarehe ya mwisho ya sasisho: Inakuja hivi karibuni	*Dato for endelig opdatering: Kommer snart
L_56	*Rankings are updated every 15 minutes	*排名每15分鐘更新一次	※ランキングは15分ごとに更新されます	*Las clasificaciones se actualizan cada 15 minutos.	*Nafasi husasishwa kila baada ya dakika 15	*Rangering opdateres hvert 15. minut
L_57	My ranking	我的排名	私のランキング	mi ranking	Nafasi yangu	Min placering
L_58	Rank	秩	ランク	Rango	Cheo	Rang
L_59	Player	玩家	プレーヤー	Jugador	Mchezaji	Spiller
L_60	Game	遊戲	ゲーム	Juego	Mchezo	Spil
L_61	Score	分數	スコア	Puntaje	Alama	Score
L_62	increase your JILI LV by placing bets and enjoy better rebates	透過投注增加您的JILI LV並享受更好的回饋	ベットして JILI LV を増やし、より良いリベートを楽しみましょう	aumente su JILI LV haciendo apuestas y disfrute de mejores reembolsos	ongeza JILI LV yako kwa kuweka dau na ufurahie punguzo bora zaidi	øg din JILI LV ved at placere indsatser og nyd bedre rabatter
L_63	Item	物品	アイテム	Artículo	Kipengee	Punkt
L_64	Hello ! Look over all the cards Here and use the cards in the specific game only.	你好 ！查看此處的所有紙牌並僅在特定遊戲中使用這些紙牌。	こんにちは ！ここですべてのカードを確認し、特定のゲームでのみカードを使用してください。	Hola ! Mira todas las cartas aquí y usa las cartas solo en el juego específico.	Habari! Angalia kadi zote Hapa na utumie kadi katika mchezo mahususi pekee.	Hej! Se over alle kortene her og brug kun kortene i det specifikke spil.
L_65	Search:	搜尋:	検索：	Buscar:	Tafuta:	Søge:
L_66	Date:	日期：	日付：	Fecha:	Tarehe:	Dato:
L_67	Round number:	輪數：	概数:	Número redondo:	Nambari ya mzunguko:	Rundt nummer:
L_68	Return to previous page	回上一頁	前のページに戻る	Volver a la página anterior	Rudi kwenye ukurasa uliopita	Vend tilbage til forrige side
L_69	Higher level, higher rewards! 	等級越高，獎勵越高！ 	レベルが高くなると、報酬も高くなります！ 	¡Nivel más alto, recompensas más altas! 	Kiwango cha juu, tuzo za juu! 	Højere niveau, højere belønninger! 
L_70	JILI LV Use:	吉利LV用途：	JILI LV 使用:	Uso de JILI LV:	Matumizi ya JILI LV:	JILI LV Anvendelse:
L_71	Bet 1 coin to receive 1 point of JILI LV EXP.	投注1個幣即可獲得1點JILI LV EXP。	コインを1枚賭けるとJILI LV EXPが1ポイント獲得できます。	Apueste 1 moneda para recibir 1 punto de JILI LV EXP.	Weka dau la sarafu 1 ili kupokea pointi 1 ya JILI LV EXP.	Sats på 1 mønt for at modtage 1 point af JILI LV EXP.
L_72	JILI LV applies to slot and fishing machines.	JILI LV適用於老虎機和釣魚機。	JILI LVはスロットマシンとフィッシングマシンに適用されます。	JILI LV se aplica a máquinas tragamonedas y de pesca.	JILI LV inatumika kwa yanayopangwa na mashine za uvuvi.	JILI LV gælder for spilleautomater og fiskemaskiner.
L_73	The LV may be reset during special conditions.	特殊情況下 LV 可能會被重置。	特殊な条件下ではLVがリセットされる場合があります。	El LV puede restablecerse durante condiciones especiales.	LV inaweza kuwekwa upya katika hali maalum.	LV kan nulstilles under særlige forhold.
L_74	Since LV is an extra reward service, JILI reserves the right to adjust the levels and rules as needed.	由於LV是一項額外獎勵服務，吉利保留根據需要調整等級和規則的權利。	LV は追加の報酬サービスであるため、JILI は必要に応じてレベルとルールを調整する権利を留保します。	Dado que LV es un servicio de recompensa adicional, JILI se reserva el derecho de ajustar los niveles y reglas según sea necesario.	Kwa kuwa LV ni huduma ya ziada ya zawadi, JILI inahifadhi haki ya kurekebisha viwango na sheria inavyohitajika.	Da LV er en ekstra belønningstjeneste, forbeholder JILI sig retten til at justere niveauerne og reglerne efter behov.
L_75	JILI LV Reset:	吉利LV重置：	JILI LV リセット:	Restablecimiento de JILI LV:	Weka upya JILI LV:	JILI LV nulstilling:
L_76	If no JILI games have been played for 15 consecutive days, the current level will be maintained, but the current EXP bar will be reset to 0 at 12:00AM the following day. 	如果連續15天沒有玩JILI遊戲，則維持目前等級，但目前EXP欄將在隔天12:00重設為0。 	JILI ゲームが 15 日間連続してプレイされなかった場合、現在のレベルは維持されますが、現在の EXP バーは翌日の午前 00 時に 0 にリセットされます。 	Si no se ha jugado ningún juego JILI durante 15 días consecutivos, se mantendrá el nivel actual, pero la barra de EXP actual se restablecerá a 0 a las 12:00 a. m. del día siguiente. 	Ikiwa hakuna michezo ya JILI ambayo imechezwa kwa siku 15 mfululizo, kiwango cha sasa kitadumishwa, lakini upau wa sasa wa EXP utawekwa upya hadi 0 saa 12:00AM siku inayofuata. 	Hvis ingen JILI-spil er blevet spillet i 15 på hinanden følgende dage, vil det nuværende niveau blive bibeholdt, men den aktuelle EXP-bjælke vil blive nulstillet til 0 kl. 12:00 den følgende dag. 
L_77	If no JILI games have been played for 30 consecutive days, the LV and EXP bar will be reset to 0 at 12:00AM of the following day. 	如果連續30天沒有玩JILI遊戲，則LV和EXP欄將在隔天12:00重設為0。 	30日間連続でJILIゲームをプレイしなかった場合、翌日の午前0時にLVとEXPバーが0にリセットされます。 	Si no se ha jugado ningún juego JILI durante 30 días consecutivos, la barra LV y EXP se restablecerá a 0 a las 12:00 a. m. del día siguiente. 	Ikiwa hakuna michezo ya JILI ambayo imechezwa kwa siku 30 mfululizo, upau wa LV na EXP utawekwa upya hadi 0 saa 12:00AM ya siku inayofuata. 	Hvis ingen JILI-spil er blevet spillet i 30 på hinanden følgende dage, vil LV- og EXP-bjælken blive nulstillet til 0 kl. 12:00 den følgende dag. 
L_78	Sign-in Intro:	登入簡介：	サインインの概要:	Introducción al inicio de sesión:	Utangulizi wa Kuingia:	Introduktion til login:
L_79	Accumulating a full progress bar through BET will raise JILI LV and unlock more rewards. 	透過BET累積滿進度條將提升JILI LV並解鎖更多獎勵。 	BET を通じてプログレスバーをフルに蓄積すると、JILI LV が上昇し、より多くの報酬のロックが解除されます。 	Acumular una barra de progreso completa a través de BET aumentará el nivel de JILI y desbloqueará más recompensas. 	Kukusanya upau kamili wa maendeleo kupitia BET kutaongeza JILI LV na kupata zawadi zaidi. 	At akkumulere en fuld statuslinje gennem BET vil hæve JILI LV og låse op for flere belønninger. 
L_80	Reward resets weekly on Tuesday 12:00.	每週週二 12:00 重置獎勵。	報酬は毎週火曜日 12:00 にリセットされます。	La recompensa se reinicia semanalmente el martes a las 12:00.	Zawadi hurejeshwa kila wiki siku ya Jumanne 12:00.	Belønningen nulstilles ugentligt tirsdag kl. 12.00.
L_81	JILI LV Rankings Info	吉利LV排名信息	JILI LVランキング情報	Información de clasificación de JILI LV	Maelezo ya Vyeo vya JILI LV	JILI LV Rankings Info
L_82	Logging into the designated game will assign the Player to a competition group determined by JILI Level. The higher the JILI Level, the better the rewards! 	登入指定遊戲後，玩家將被分配到由JILI等級決定的比賽組別。吉力等級越高，獎勵越好！ 	指定されたゲームにログインすると、プレーヤーは JILI レベルによって決定される競技グループに割り当てられます。 JILIレベルが高いほど、より良い報酬が得られます! 	Al iniciar sesión en el juego designado, se asignará al jugador a un grupo de competición determinado por el nivel JILI. ¡Cuanto mayor sea el nivel JILI, mejores serán las recompensas! 	Kuingia kwenye mchezo ulioteuliwa kutampanga Mchezaji kwenye kikundi cha shindano kilichobainishwa na Kiwango cha JILI. Kadiri kiwango cha JILI kilivyo juu, ndivyo thawabu zinavyokuwa bora zaidi! 	Hvis du logger ind på det udpegede spil, tildeles spilleren en konkurrencegruppe, der bestemmes af JILI-niveau. Jo højere JILI-niveau, jo bedre belønninger! 
L_83	If the Player's JILI Level changed in the middle of the competition, the Player will be moved to the corresponding group in the next event. 	如果比賽中途選手的JILI等級發生變化，則在下一場比賽中該選手將被移至相應組別。 	プレーヤーのJILIレベルが競技の途中で変更された場合、プレーヤーは次のイベントで対応するグループに移動されます。 	Si el nivel JILI del jugador cambia a mitad de la competición, el jugador pasará al grupo correspondiente en el siguiente evento. 	Ikiwa Kiwango cha JILI cha Mchezaji kilibadilika katikati ya shindano, Mchezaji atahamishwa hadi kwenye kikundi sambamba katika tukio linalofuata. 	Hvis spillerens JILI-niveau ændres midt i konkurrencen, vil spilleren blive flyttet til den tilsvarende gruppe i den næste begivenhed. 
L_84	JILI LV Mission Info	吉利LV使命訊息	JILI LVミッション情報	Información de la misión JILI LV	JILI LV Mission Info	JILI LV Mission Info
L_85	Select Game	選擇遊戲	ゲームを選択	Seleccionar juego	Chagua Mchezo	Vælg Spil
L_86	Rankings	排行榜	ランキング	Clasificaciones	Nafasi	Placeringer
L_87	Now	現在	今	Ahora	Sasa	Nu
L_88	All	全部	全て	Todo	Wote	Alle
L_89	Get Reward	獲得獎勵	報酬を得る	Obtener recompensa	Pata Tuzo	Få belønning
L_90	Claimed	聲稱	主張した	Reclamado	Imedaiwa	Påstået
L_91	Upgrade to LV1 to unlock rewards.	升級到LV1即可解鎖獎勵。	LV1にアップグレードすると報酬がアンロックされます。	Actualice a LV1 para desbloquear recompensas.	Pata toleo jipya la LV1 ili ufungue zawadi.	Opgrader til LV1 for at låse op for belønninger.
L_92	Upgrade to LV2 to unlock rewards.	升級到LV2即可解鎖獎勵。	LV2にアップグレードすると報酬がアンロックされます。	Actualice a LV2 para desbloquear recompensas.	Pata toleo jipya la LV2 ili ufungue zawadi.	Opgrader til LV2 for at låse op for belønninger.
L_93	Upgrade to LV3 to unlock rewards.	升級到LV3即可解鎖獎勵。	LV3にアップグレードすると報酬がアンロックされます。	Actualice a LV3 para desbloquear recompensas.	Pata toleo jipya la LV3 ili kufungua zawadi.	Opgrader til LV3 for at låse op for belønninger.
L_94	Upgrade to LV4 to unlock rewards.	升級到LV4即可解鎖獎勵。	LV4にアップグレードすると報酬がアンロックされます。	Actualice a LV4 para desbloquear recompensas.	Pata toleo jipya la LV4 ili ufungue zawadi.	Opgrader til LV4 for at låse op for belønninger.
L_95	Upgrade to LV5 to unlock rewards.	升級到LV5即可解鎖獎勵。	LV5にアップグレードすると報酬がアンロックされます。	Actualice a LV5 para desbloquear recompensas.	Pata toleo jipya la LV5 ili ufungue zawadi.	Opgrader til LV5 for at låse op for belønninger.
L_96	Current JILI LV	目前吉利LV	現在のJILI LV	JILI LV actual	JILI LV ya sasa	Nuværende JILI LV
L_97	Total bet over	總投注額	合計ベットオーバー	Apuesta total terminada	Jumla ya dau imekwisha	Samlet indsats over
L_98	JILI Slot Games	吉利老虎機遊戲	JILI スロット ゲーム	Juegos de tragamonedas JILI	JILI Slot Michezo	JILI spilleautomater
L_99	Backpack	背包	バックパック	Mochila	Mkoba	Rygsæk
L_100						
